N,Iterative,Recursive,DP
1,0.000001,0.000000,0.000001
2,0.000001,0.000000,0.000001
3,0.000001,0.000000,0.000001
4,0.000001,0.000000,0.000001
5,0.000001,0.000000,0.000001
6,0.000001,0.000000,0.000001
7,0.000001,0.000000,0.000001
8,0.000001,0.000000,0.000001
9,0.000001,0.000000,0.000001
10,0.000001,0.000000,0.000001
11,0.000001,0.000000,0.000001
12,0.000001,0.000000,0.000001
13,0.000001,0.000000,0.000001
14,0.000001,0.000000,0.000001
15,0.000001,0.000000,0.000001
16,0.000001,0.000000,0.000001
17,0.000001,0.000026,0.000001
18,0.000001,0.000000,0.000001
19,0.000001,0.000028,0.000001
20,0.000001,0.000080,0.000001
21,0.000001,0.000116,0.000001
22,0.000001,0.000153,0.000001
23,0.000001,0.000316,0.000001
24,0.000001,0.000465,0.000001
25,0.000001,0.000719,0.000001
26,0.000001,0.001251,0.000001
27,0.000001,0.001915,0.000001
28,0.000001,0.003298,0.000001
29,0.000001,0.005718,0.000001
30,0.000001,0.008383,0.000001
31,0.000001,0.013893,0.000001
32,0.000001,0.021809,0.000001
33,0.000001,0.035288,0.000001
34,0.000001,0.056308,0.000001
35,0.000001,0.091512,0.000001
36,0.000001,0.146280,0.000001
37,0.000001,0.265491,0.000001
38,0.000001,0.385334,0.000001
39,0.000001,TIMEOUT,0.000001
40,0.000001,TIMEOUT,0.000001
