N,Iterative,Recursive,DP
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000008
15,0.000000,0.000000,0.000000
16,0.000000,0.001029,0.000000
17,0.000000,0.001051,0.000000
18,0.000000,0.000637,0.000000
19,0.000000,0.001168,0.000000
20,0.000000,0.001135,0.000000
21,0.000000,0.002114,0.000000
22,0.000000,0.003390,0.000000
23,0.000000,0.005650,0.000000
24,0.000000,0.008896,0.000000
25,0.000000,0.014362,0.000000
26,0.000000,0.024142,0.000000
27,0.000000,0.054719,0.000000
28,0.000000,0.062831,0.000000
29,0.000000,0.105485,0.000000
30,0.000000,0.174659,0.000079
31,0.000000,0.271435,0.000000
32,0.000000,0.428839,0.000000
33,0.000000,0.694718,0.000000
34,0.000000,1.122577,0.000000
35,0.000000,1.934631,0.000000
36,0.000000,3.056144,0.000000
37,0.000000,5.425958,0.000000
38,0.000000,8.010535,0.000000
39,0.000000,12.674525,0.000000
